transaction_id,transaction_date,transaction_time,sales_outlet_id,staff_id,customer_id,instore_yn,order,line_item_id,product_id,quantity,line_item_amount,unit_price,promo_item_yn,transaction_dt
7,01/04/2019,12:04:43,3,12,558,N,1,1,52,1,2.5,2.5,N,01/04/2019 12:04
11,01/04/2019,15:54:39,3,17,781,N,1,1,27,2,7,3.5,N,01/04/2019 15:54
19,01/04/2019,14:34:59,3,17,788,Y,1,1,46,2,5,2.5,N,01/04/2019 14:34
32,01/04/2019,16:06:04,3,12,683,N,1,1,23,2,5,2.5,N,01/04/2019 16:06
33,01/04/2019,19:18:37,3,17,99,Y,1,1,34,1,2.45,2.45,N,01/04/2019 19:18
39,01/04/2019,18:54:46,3,17,664,Y,1,1,32,1,3,3,N,01/04/2019 18:54
50,01/04/2019,13:03:49,3,12,316,N,1,1,49,2,6,3,N,01/04/2019 13:03
53,01/04/2019,11:21:14,3,12,38,N,1,1,60,1,3.75,3.75,N,01/04/2019 11:21
59,01/04/2019,19:30:55,3,12,370,Y,1,1,51,2,6,3,N,01/04/2019 19:30
62,01/04/2019,12:01:00,3,12,180,Y,1,1,49,2,6,3,N,01/04/2019 12:01
81,01/04/2019,13:20:51,3,12,35,Y,1,1,35,2,6.2,3.1,N,01/04/2019 13:20
90,01/04/2019,11:40:20,3,17,595,N,1,1,47,1,3,3,N,01/04/2019 11:40
91,01/04/2019,12:27:43,3,12,500,N,1,1,25,2,4.4,2.2,N,01/04/2019 12:27
94,01/04/2019,17:37:02,3,17,128,Y,1,1,23,2,5,2.5,N,01/04/2019 17:37
101,01/04/2019,12:26:34,3,17,599,Y,1,1,48,2,5,2.5,N,01/04/2019 12:26
103,01/04/2019,14:33:32,3,17,152,Y,1,1,53,2,6,3,N,01/04/2019 14:33
108,01/04/2019,16:11:18,3,17,65,N,1,1,40,1,3.75,3.75,N,01/04/2019 16:11
112,01/04/2019,13:03:38,3,12,90,Y,1,1,37,2,6,3,N,01/04/2019 13:03
117,01/04/2019,18:25:04,3,12,82,Y,1,1,60,1,3.75,3.75,N,01/04/2019 18:25
120,01/04/2019,15:51:44,3,12,174,N,1,1,53,2,6,3,N,01/04/2019 15:51
127,01/04/2019,13:58:40,3,12,116,N,1,1,41,2,8.5,4.25,N,01/04/2019 13:58
