track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
5SuOikwiRyPMVoIQDJUgSV,Gen  Hoshino,Comedy,Comedy,73,230666,0,0.676,0.461,1,-6.746,0,0.143,0.0322,1.00E-06,0.358,0.715,87.917,4,Acoustic
4qPNDBW1i3p13qLCt0Ki3A,Ben  Woodward,Ghost acoustic,Ghost acoustic,55,149610,0,0.42,0.166,1,-17.235,1,0.0763,0.924,6.00E-06,0.101,0.267,77.489,4,Acoustic
1iJBSr7s7jYXzM8EGcbK5b,Ingrid  Michaelson zayn,To begin again,To begin again,57,210826,0,0.438,0.359,0,-9.734,1,0.0557,0.21,0,0.117,0.12,76.332,4,Acoustic
6lfxq3CG4xtTiEg7opyCyx,Kina  Grannis,Crazy rich asians original motion picture soundtrack,Can't help falling in love,71,201933,0,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.10E-05,0.132,0.143,181.74,3,Acoustic
5vjLSffimiIP26QG5WcN2K,Chord  Overstreet,Hold on,Hold on,82,198853,0,0.618,0.443,2,-9.681,1,0.0526,0.469,0,0.0829,0.167,119.949,4,Acoustic
01MVOl9KtVTNfFiBU9I7dc,Tyrone  Wells,Days i will remember,Days i will remember,58,214240,0,0.688,0.481,6,-8.807,1,0.105,0.289,0,0.189,0.666,98.017,4,Acoustic
6Vc5wAMmXdKIAM7WUoEb7N,A  Great big world christina aguilera,Is there anybody out there?,Say something,74,229400,0,0.407,0.147,2,-8.822,1,0.0355,0.857,3.00E-06,0.0913,0.0765,141.284,3,Acoustic
1EzrEOXmMH3G43AXT1y7pA,Jason  Mraz,We sing we dance we steal things,I'm yours,80,242946,0,0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4,Acoustic
0IktbUcnAGrvD03AWnz3Q8,Jason  Mraz colbie caillat,We sing we dance we steal things,Lucky,74,189613,0,0.625,0.414,0,-8.7,1,0.0369,0.294,0,0.151,0.669,130.088,4,Acoustic
7k9GuJYLp2AzqokyEdwEw2,Ross  Copperman,Hunger,Hunger,56,205594,0,0.442,0.632,1,-6.77,1,0.0295,0.426,0.00419,0.0735,0.196,78.899,4,Acoustic
4mzP5mHkRvGxdhdGdAH7EJ,Zack  Tabudlo,Episode,Give me your forever,74,244800,0,0.627,0.363,8,-8.127,1,0.0291,0.279,0,0.0928,0.301,99.905,4,Acoustic
5ivF4eQBqJiVL5IAE9jRyl,Jason  Mraz,Love is a four letter word,I won't give up,69,240165,0,0.483,0.303,4,-10.058,1,0.0429,0.694,0,0.115,0.139,133.406,3,Acoustic
4ptDJbJl35d7gQfeNteBwp,Dan  Berk,Solo,Solo,52,198712,0,0.489,0.314,7,-9.245,0,0.0331,0.749,0,0.113,0.607,124.234,4,Acoustic
0X9MxHR1rTkEHDjp95F2OO,Anna  Hamilton,Bad liar,Bad liar,62,248448,0,0.691,0.234,3,-6.441,1,0.0285,0.777,0,0.12,0.209,87.103,4,Acoustic
4LbWtBkN82ZRhz9jqzgrb3,Chord  Overstreet deepend,Hold on remix,Hold on remix,56,188133,0,0.755,0.78,2,-6.084,1,0.0327,0.124,2.80E-05,0.121,0.387,120.004,4,Acoustic
1KHdq8NK9QxnGjdXb55NiG,Landon  Pigg,The boy who never,Falling in love at a coffee shop,58,244986,0,0.489,0.561,4,-7.933,1,0.0274,0.2,4.60E-05,0.179,0.238,83.457,3,Acoustic
6xKeQgzfjixSUld14qUezm,Andrew  Foy renee foy,Ily i love you baby,Ily i love you baby,56,129750,0,0.706,0.112,2,-18.098,1,0.0391,0.827,4.00E-06,0.125,0.414,110.154,4,Acoustic
4Yo0igmcoNyat1secaH0OD,Andrew  Foy renee foy,At my worst,At my worst,54,169728,0,0.795,0.0841,10,-18.09,0,0.0461,0.742,1.20E-05,0.0853,0.609,91.803,4,Acoustic
2qLMf6TuEC3ruGJg4SMMN6,Jason  Mraz colbie caillat,We sing we dance we steal things,Lucky,68,189613,0,0.625,0.414,0,-8.7,1,0.0369,0.294,0,0.151,0.669,130.088,4,Acoustic
6CgNoAbFJ4Q4Id4EjtbXlC,Boyce  Avenue bea miller,Cover sessions vol 4,Photograph,67,260186,0,0.717,0.32,3,-8.393,1,0.0283,0.83,0,0.107,0.322,107.946,4,Acoustic
3S0OXQeoh0w6AY8WQVckRW,Jason  Mraz,We sing we dance we steal things,I'm yours,75,242946,0,0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4,Acoustic
